scenario,strategy,00_R2/mean,00_R2/std,00_MSE/mean,00_MSE/std,AVG_R2/mean,AVG_R2/std,BWT_R2/mean,BWT_R2/std,FWT_R2/mean,FWT_R2/std,AVG_MSE/mean,AVG_MSE/std,BWT_MSE/mean,BWT_MSE/std,FWT_MSE/mean,FWT_MSE/std,R2_DIAG/mean,R2_DIAG/std,trainable_parameters/mean,trainable_parameters/count
eurowind,ewc-kan,0.7273129463,0.03722967252,0.3944897473,0.05385927829,0.7032183223,0.004957544909,-0.0660247641,0.009245141737,-0.2066168368,0.06226001824,0.2564701292,0.008079344401,0.07418045625,0.01193685147,1.057333958,0.06081986003,0.7525362968,0.002191240891,29193,5
eurowind,ewc-mlp,0.7592017651,0.01922447656,0.3483569741,0.02781157258,0.6780155076,0.006032138543,-0.03062812941,0.004786215776,-0.1554016188,0.0378374129,0.2791988161,0.005474359602,0.03624898451,0.00629560537,1.045863605,0.02928245737,0.6903325081,0.006471428876,44030,5
eurowind,joint-kan,0.8704255342,0.002331049012,0.1310750782,0.002358061638,,,,,,,,,,,,,,,347761,5
eurowind,joint-mlp,0.865045929,0.003891471082,0.1365169644,0.003936538649,,,,,,,,,,,,,,,276401,5
eurowind,kan,0.5235208392,0.06496752377,0.6893108249,0.09398695008,0.6235227903,0.006094079732,-0.1402131562,0.007834177882,-0.05133691886,0.05635927679,0.3342709223,0.00619005515,0.1346087341,0.008201332883,0.9432029843,0.05706525962,0.743482554,0.003577170926,26082,5
eurowind,mlp,0.6285665154,0.03668612832,0.537343806,0.05307293243,0.6496301863,0.01273320661,-0.06854785979,0.01603812158,-0.1099433705,0.03605526816,0.3079467562,0.01431634556,0.06698708673,0.01841286758,0.9812465668,0.02933794348,0.7145513415,0.0005890222125,40115,5
eurowind,packnet,0.8414141297,0.005066675192,0.2294223249,0.007329832493,0.7808467017,0.005755701825,0,0,-0.1234359551,0.08793841826,0.1903298087,0.005577024879,0,0,1.004770803,0.06370005344,0.7665626884,0.005835002419,254675,5
eurowind,si-kan,0.8823282599,0.004185554805,0.1702328652,0.006055150312,0.7338836246,0.004742396672,-1.49E-05,8.88E-06,-0.1346302979,0.08061047582,0.215828183,0.003038734998,2.12E-05,1.28E-05,1.000512052,0.07514610758,0.7359822273,0.005215874074,18147,5
eurowind,si-mlp,0.884197104,0.007799934193,0.1675292492,0.01128396129,0.7002089183,0.008369653481,-0.0002222320863,0.000322599251,-0.1221397837,0.0870183307,0.243545119,0.006172015422,0.0003076940775,0.0003657640857,0.994460392,0.05597897851,0.6983071446,0.005558896744,67697,5
eurowind,wisekan,0.8988587856,0.02083009362,0.146318543,0.03013439204,0.7980616781,0.009081609573,0,0,-0.04492593035,0.01742995035,0.1705480046,0.01190404176,0,0,0.9415537477,0.01576712921,0.7890273809,0.01041275243,288600,5
